ID,FORM,SEGM,XPOSTAG
o.1.2,5(asz),5(asz)[one],NU
o.1.3,sze,sze[barley],N
o.1.4,gur,gur[unit],N
o.2.1,szuku,szukur[ration],N
o.2.2,diri,dirig[surplus][-ø][-ø],NF.V.ABS.ABS
o.2.3,i7,id[river],N
o.2.4,dur-ul3-ta,Durul[1]-ta,WN.ABL
o.2.5,4(ban2),4(ban)[unit],N
o.2.6,3(disz),3(disz)[one],NU
o.2.7,1/3(disz)-ta,1/3(disz)[one]-ta,NU.ABL
o.3.1,sza3,szag[heart],N
o.3.2,e2-duru5-ta,eduru[village][-ak]-ta,N.GEN.ABL
o.4.1,sza3,szag[heart],N
o.4.2,u-pi5{ki}-sze3,Upi[1][-ak]-sze,SN.GEN.TERM
r.1.1,ki,ki[place],N
r.1.2,ab-ba-gi-na-ta,Abbagina[1][-ak]-ta,PN.GEN.ABL
r.2.1,ur-{d}szul-pa-e3-ke4,Urszulpa'e[1]-e,PN.ERG
r.2.2,szu,szu[hand][-e],N.L3-NH
r.2.3,ba-ti,ba[-n]-teg[accept][-ø],MID.3-SG-H-A.V.3-SG-P
r.3.1,iti,iti[month],N
r.3.2,ezem-{d}szul-gi,Ezemszulgir[1][-'a],MN.L1
r.4.1,mu,mu[year],N
r.4.2,en,en[priest],N
r.4.3,{d}nanna,Nanna[1][-ak][-ø],DN.GEN.ABS
r.4.4,masz-e,masz[goat]-e,N.L3-NH
r.4.5,i3-pa3,i-pad[find][-ø],FIN.V.3-SG-S
o.1.1,pisan-dub-ba,bisagdubak[filing_basket],N
o.2.1,im,im[clay],N
o.2.2,e2-tum,bitum[administrative_term],N
o.3.1,sze,sze[barley],N
o.3.2,gesz,gesz[tree],N
o.3.3,e3-a,e[leave]-a[-ak],NF.V.PT.GEN
o.4.1,u3,u[and],CNJ
o.4.2,nig2-ka9,nigSZID[account],N
o.4.3,didli,didli[several][-ø][-ø],NF.V.ABS.ABS
o.5.1,i3-gal2,i[-ni]-gal[be][-ø],FIN.L1.V.3-SG-S
o.6.1,giri3,giri[foot],N
o.6.2,lu2-gi-na,Lugina[1][-ak],PN.GEN
o.col1.1.1,1(u),1(u)[ten],NU
o.col1.1.2,la2,la[hang][-ø],NF.V.ABS
o.col1.1.3,1(disz),1(disz)[one],NU
o.col1.1.4,gu4,gud[ox],N
o.col1.1.5,niga,niga[fattened][-ø],NF.V.ABS
o.col1.1.6,saga,saga[good][-ø],NF.V.ABS
o.col1.2.1,1(gesz2),1(gesz)[sixty],NU
o.col1.2.2,1(u),1(u)[ten],NU
o.col1.2.3,4(disz),4(disz)[one],NU
o.col1.2.4,gu4,gud[ox],N
o.col1.2.5,niga,niga[fattened][-ø],NF.V.ABS
o.col1.2.6,us2,us[follow][-ø],NF.V.ABS
o.col1.3.1,1(u),1(u)[ten],NU
o.col1.3.2,5(disz),5(disz)[one],NU
o.col1.3.3,ab2,ab[cow],N
o.col1.3.4,mu,mu[year],N
o.col1.3.5,2(asz),2(asz)[one],NU
o.col1.3.6,niga,niga[fattened][-ø],NF.V.ABS
o.col1.4.1,1(disz),1(disz)[one],NU
o.col1.4.2,gu4,gud[ox],N
o.col1.4.3,u2,u[grass],N
o.col1.5.1,1(disz),1(disz)[one],NU
o.col1.5.2,eme3-mah2,ememah[mature_donkey],N
o.col1.6.1,5(disz),5(disz)[one],NU
o.col1.6.2,udu,udu[sheep],N
o.col1.6.3,niga,niga[fattened][-ø],NF.V.ABS
o.col1.6.4,saga,saga[good][-ø],NF.V.ABS
o.col1.7.1,5(gesz2),5(gesz)[sixty],NU
o.col1.7.2,2(u),2(u)[ten],NU
o.col1.7.3,7(disz),7(disz)[one],NU
o.col1.7.4,udu,udu[sheep],N
o.col1.7.5,niga,niga[fattened][-ø],NF.V.ABS
o.col1.7.6,us2,us[follow][-ø],NF.V.ABS
o.col1.8.1,2(u),2(u)[ten],NU
o.col1.8.2,5(disz),5(disz)[one],NU
o.col1.8.3,udu,udu[sheep],N
o.col1.8.4,u2,u[grass],N
o.col1.8.5,bar-gal2,bargal[fleeced_sheep],N
o.col1.9.1,6(gesz2),6(gesz)[sixty],NU
o.col1.9.2,1(u),1(u)[ten],NU
o.col1.9.3,3(disz),3(disz)[one],NU
o.col1.9.4,udu,udu[sheep],N
o.col1.9.5,u2,u[grass],N
o.col1.9.6,bar-su-ga,barsuga[without_fleece][-ø],NF.V.ABS
o.col1.10.1,5(gesz2),5(gesz)[sixty],NU
o.col1.10.2,4(u),4(u)[ten],NU
o.col1.10.3,4(disz),4(disz)[one],NU
o.col1.10.4,sila4,sila[lamb],N
o.col1.11.1,1(gesz2),1(gesz)[sixty],NU
o.col1.11.2,masz2,masz[goat],N
o.col1.11.3,niga,niga[fattened][-ø],NF.V.ABS
o.col1.12.1,4(gesz2),4(gesz)[sixty],NU
o.col1.12.2,1(u),1(u)[ten],NU
o.col1.12.3,la2,la[hang][-ø],NF.V.ABS
o.col1.12.4,1(disz),1(disz)[one],NU
o.col1.12.5,masz2,masz[goat],N
o.col1.12.6,u2,u[grass],N
o.col1.13.1,zi-ga,zig[expend]-a,NF.V.PT
o.col1.13.2,bala-a,bala[tax]-'a,N.L1
o.col1.13.3,sza3,szag[heart],N
o.col1.13.4,nibru{ki},Nibru[1][-ak][-'a],SN.GEN.L1
o.col1.13.5,u3,u[and],CNJ
o.col1.13.6,sza3,szag[heart],N
o.col1.13.7,uri5{ki}-ma,Urim[1][-ak]-'a,SN.GEN.L1
o.col1.14.1,2(u),2(u)[ten],NU
o.col1.14.2,gu4,gud[ox],N
o.col1.14.3,niga,niga[fattened][-ø],NF.V.ABS
o.col1.15.1,3(u),3(u)[ten],NU
o.col1.15.2,udu,udu[sheep],N
o.col1.15.3,niga,niga[fattened][-ø],NF.V.ABS
o.col1.15.4,bar-su-ga,barsuga[without_fleece][-ø],NF.V.ABS
o.col1.16.1,1(u),1(u)[ten],NU
o.col1.16.2,7(disz),7(disz)[one],NU
o.col1.16.3,masz2-gal,maszgal[billy_goat],N
o.col1.16.4,niga,niga[fattened][-ø],NF.V.ABS
o.col1.17.1,1(u),1(u)[ten],NU
o.col1.17.2,2(disz),2(disz)[one],NU
o.col1.17.3,udu,udu[sheep],N
o.col1.17.4,u2,u[grass],N
o.col1.17.5,bar-gal2,bargal[fleeced_sheep],N
o.col1.18.1,5(u),5(u)[ten],NU
o.col1.18.2,6(disz),6(disz)[one],NU
o.col1.18.3,udu,udu[sheep],N
o.col1.18.4,u2,u[grass],N
o.col1.18.5,bar-su-ga,barsuga[without_fleece][-ø],NF.V.ABS
o.col1.19.1,4(u),4(u)[ten],NU
o.col1.19.2,5(disz),5(disz)[one],NU
o.col1.19.3,masz2,masz[goat],N
o.col1.20.1,kasz-de2-a,kaszdea[banquet],N
o.col1.20.2,lugal,lugal[king][-ak][-sze],N.GEN.TERM
o.col1.21.1,u3,u[and],CNJ
o.col1.21.2,nin-kal-la,Ninkala[1][-ra],PN.DAT-H
o.col1.22.1,3(disz),3(disz)[one],NU
o.col1.22.2,gu4,gud[ox],N
o.col1.22.3,niga,niga[fattened][-ø],NF.V.ABS
o.col1.22.4,saga,saga[good][-ø],NF.V.ABS
o.col1.23.1,2(disz),2(disz)[one],NU
o.col1.23.2,ab2,ab[cow],N
o.col1.23.3,mu,mu[year],N
o.col1.23.4,2(asz),2(asz)[one],NU
o.col1.23.5,niga,niga[fattened][-ø],NF.V.ABS
o.col1.24.1,4(disz),4(disz)[one],NU
o.col1.24.2,udu,udu[sheep],N
o.col1.24.3,niga,niga[fattened][-ø],NF.V.ABS
o.col1.24.4,saga,saga[good][-ø],NF.V.ABS
o.col1.24.5,bar-su-ga,barsuga[without_fleece][-ø],NF.V.ABS
o.col2.1.1,2(u),2(u)[ten],NU
o.col2.1.2,la2,la[hang][-ø],NF.V.ABS
o.col2.1.3,1(disz),1(disz)[one],NU
o.col2.1.4,udu,udu[sheep],N
o.col2.1.5,u2,u[grass],N
o.col2.1.6,bar-gal2,bargal[fleeced_sheep],N
o.col2.2.1,1(u),1(u)[ten],NU
o.col2.2.2,5(disz),5(disz)[one],NU
o.col2.2.3,udu,udu[sheep],N
o.col2.2.4,u2,u[grass],N
o.col2.2.5,bar-su-ga,barsuga[without_fleece][-ø],NF.V.ABS
o.col2.3.1,1(disz),1(disz)[one],NU
o.col2.3.2,sila4,sila[lamb],N
o.col2.3.3,niga,niga[fattened][-ø],NF.V.ABS
o.col2.3.4,bar-su-ga,barsuga[without_fleece][-ø],NF.V.ABS
o.col2.4.1,3(disz),3(disz)[one],NU
o.col2.4.2,sila4,sila[lamb],N
o.col2.4.3,bar-su-ga,barsuga[without_fleece][-ø],NF.V.ABS
o.col2.5.1,masz2-da-re6-a,maszdarea[payment],N
o.col2.5.2,lugal,lugal[king][-ak],N.GEN
o.col2.6.1,kiszib3,kiszib[seal],N
o.col2.6.2,ensi2-ka,ensik[ruler][-ak],N.GEN
o.col2.7.1,1(u),1(u)[ten],NU
o.col2.7.2,2(disz),2(disz)[one],NU
o.col2.7.3,gu4,gud[ox],N
o.col2.7.4,niga,niga[fattened][-ø],NF.V.ABS
o.col2.8.1,sa2-du11,sadug[offerings],N
o.col2.8.2,{d}szara2,Szara[1],DN
o.col2.8.3,umma{ki},Umma[1][-ak][-ak],SN.GEN.GEN
o.col2.9.1,1(disz),1(disz)[one],NU
o.col2.9.2,gu4,gud[ox],N
o.col2.9.3,niga,niga[fattened][-ø],NF.V.ABS
o.col2.9.4,{d}szul-gi,Szulgir[1][-ra],RN.DAT-H
o.col2.10.1,7(disz),7(disz)[one],NU
o.col2.10.2,gu4,gud[ox],N
o.col2.10.3,niga,niga[fattened][-ø],NF.V.ABS
o.col2.11.1,nig2-{gesz}tag-ga,nigtaga[sacrifice],N
o.col2.11.2,lugal,lugal[king][-ak],N.GEN
o.col2.12.1,x,_[_],_
o.col2.12.2,...,_,_
o.col2.12.3,x,_[_],_
o.col2.12.4,x,_[_],_
o.col2.12.5,...,_,_
o.col2.13.1,2(disz),2(disz)[one],NU
o.col2.13.2,ab2-mah2,abmah[mature_cow],N
o.col2.14.1,1(disz),1(disz)[one],NU
o.col2.14.2,ab2,ab[cow],N
o.col2.14.3,ga,ga[suckling],N
o.col2.14.4,(x),_[_],_
o.col2.15.1,1(disz),1(disz)[one],NU
o.col2.15.2,gu4,gud[ox],N
o.col2.15.3,ga,ga[suckling],N
o.col2.15.4,(x),_[_],_
o.col2.16.1,2(u),2(u)[ten],NU
o.col2.16.2,1(disz),1(disz)[one],NU
o.col2.16.3,udu,udu[sheep],N
o.col2.16.4,bar-gal2,bargal[fleeced_sheep],N
o.col2.17.1,2(u),2(u)[ten],NU
o.col2.17.2,1(disz),1(disz)[one],NU
o.col2.17.3,masz2,masz[goat],N
o.col2.18.1,4(disz),4(disz)[one],NU
o.col2.18.2,masz2,masz[goat],N
o.col2.18.3,mu,mu[name],N
o.col2.18.4,masz-da3,maszda[gazelle],N
o.col2.18.5,szeg9-bar-sze3,szegbar[animal_type][-ak]-sze,N.GEN.TERM
o.col2.19.1,nesag,nesag[offering],N
o.col2.19.2,{d}en-lil2-la2-sze3,Enlil[1]-ak-sze,DN.GEN.TERM
o.col2.20.1,3(disz),3(disz)[one],NU
o.col2.20.2,gu4,gud[ox],N
o.col2.20.3,ri-ri-ga,deg[collect]-a,NF.V.PT
o.col2.21.1,kiszib3,kiszib[seal],N
o.col2.21.2,da-da-ga,Dadaga[1][-ak],PN.GEN
o.col2.22.1,1(disz),1(disz)[one],NU
o.col2.22.2,gu4,gud[ox],N
o.col2.22.3,zuh-a,zuh[steal]-a,NF.V.PT
o.col2.22.4,lu2-pa3-da,Lupada[1],PN
o.col2.22.5,dub-sar,dubsar[scribe],N
o.col2.22.6,szu,szu[hand],N
o.col2.22.7,ba-ra,bar[release]-a,NF.V.PT
o.col2.23.1,inim,inim[word],N
o.col2.23.2,ensi2-ka-ta,ensik[ruler]-ak-ta,N.GEN.ABL
o.col2.24.1,4(disz),4(disz)[one],NU
o.col2.24.2,ab2,ab[cow],N
o.col2.24.3,mu,mu[year],N
o.col2.24.4,2(asz),2(asz)[one],NU
r.col1.1.1,4(disz),4(disz)[one],NU
r.col1.1.2,gu4,gud[ox],N
r.col1.1.3,mu,mu[year],N
r.col1.1.4,3(asz),3(asz)[one],NU
r.col1.2.1,la2-ia3,la'u[arrears],N
r.col1.2.2,su-ga,sug[repay]-a,NF.V.PT
r.col1.2.3,lugal-dub-la2,Lugaldubla[1][-ak],PN.GEN
r.col1.3.1,4(disz),4(disz)[one],NU
r.col1.3.2,gu4,gud[ox],N
r.col1.3.3,e2-gu4-ta,egud[ox_barn]-ta,N.ABL
r.col1.4.1,1(disz),1(disz)[one],NU
r.col1.4.2,ab2-mah2,abmah[mature_cow],N
r.col1.4.3,e2-ta,e[house]-ta,N.ABL
r.col1.4.4,gur-ra,gur[return]-a,NF.V.PT
r.col1.5.1,ugu2,ugu[capital],N
r.col1.5.2,kas4,Kas[1]][-ak][-'a],PN.GEN.L2-NH
r.col1.5.3,ba-a-gar,ba-e-gar[place][-ø],MID.L2.V.3-SG-S
r.col1.6.1,kiszib3,kiszib[seal],N
r.col1.6.2,ur-{d}szara2,Urszara[1],PN
r.col1.6.3,sza13-dub-ba,bisagdubak[archivist][-ak],N.GEN
r.col1.7.1,5(disz),5(disz)[one],NU
r.col1.7.2,udu,udu[sheep],N
r.col1.7.3,bar-gal2,bargal[fleeced_sheep],N
r.col1.8.1,3(u),3(u)[ten],NU
r.col1.8.2,3(disz),3(disz)[one],NU
r.col1.8.3,udu,udu[sheep],N
r.col1.8.4,bar-su-ga,barsuga[without_fleece][-ø],NF.V.ABS
r.col1.9.1,3(disz),3(disz)[one],NU
r.col1.9.2,sila4,sila[lamb],N
r.col1.10.1,2(u),2(u)[ten],NU
r.col1.10.2,1(disz),1(disz)[one],NU
r.col1.10.3,masz2,masz[goat],N
r.col1.11.1,mu-kux(DU),mukur[delivery],N
r.col1.11.2,{d}szara2,Szara[1],DN
r.col1.11.3,|KI.AN|{ki},Ki'an[1][-ak][-ra],SN.GEN.DAT-H
r.col1.12.1,6(disz),6(disz)[one],NU
r.col1.12.2,udu,udu[sheep],N
r.col1.12.3,bar-gal2,bargal[fleeced_sheep],N
r.col1.13.1,4(u),4(u)[ten],NU
r.col1.13.2,2(disz),2(disz)[one],NU
r.col1.13.3,udu,udu[sheep],N
r.col1.13.4,bar-su-ga,barsuga[without_fleece][-ø],NF.V.ABS
r.col1.14.1,2(disz),2(disz)[one],NU
r.col1.14.2,masz2,masz[goat],N
r.col1.15.1,giri3,giri[foot],N
r.col1.15.2,ur-e11-e,Ure'e[1][-ak],PN.GEN
r.col1.16.1,ugu2,ugu[capital],N
r.col1.16.2,lu2-{d}suen,Lusuen[1][-ak],PN.GEN
r.col1.17.1,1(u),1(u)[ten],NU
r.col1.17.2,3(disz),3(disz)[one],NU
r.col1.17.3,masz2,masz[goat],N
r.col1.18.1,giri3,giri[foot],N
r.col1.18.2,ba-sa6,Basa[1][-ak],PN.GEN
r.col1.19.1,8(disz),8(disz)[one],NU
r.col1.19.2,masz2,masz[goat],N
r.col1.20.1,giri3,giri[foot],N
r.col1.20.2,da-gi,Dagi[1][-ak],PN.GEN
r.col1.21.1,ugu2,ugu[capital],N
r.col1.21.2,ur-{d}nisaba,Urnisaba[1][-ak][-'a],PN.GEN.L2-NH
r.col1.21.3,ba-a-gar,ba-e-gar[place][-ø],MID.L2.V.3-SG-S
r.col1.22.1,kiszib3,kiszib[seal],N
r.col1.22.2,lu2-banda3{da},Lubanda[1][-ak],PN.GEN
r.col1.23.1,3(disz),3(disz)[one],NU
r.col1.23.2,udu,udu[sheep],N
r.col1.23.3,bar-gal2,bargal[fleeced_sheep],N
r.col1.24.1,2(disz),2(disz)[one],NU
r.col1.24.2,sila4,sila[lamb],N
r.col1.24.3,bar-gal2,bargal[fleeced_sheep],N
r.col1.25.1,1(disz),1(disz)[one],NU
r.col1.25.2,udu,udu[sheep],N
r.col1.25.3,bar-su-ga,barsuga[without_fleece][-ø],NF.V.ABS
r.col1.26.1,3(disz),3(disz)[one],NU
r.col1.26.2,masz2,masz[goat],N
r.col2.1.1,kiszib3,kiszib[seal],N
r.col2.1.2,ur-{d}nisaba,Urnisaba[1][-ak],PN.GEN
r.col2.2.1,zi-ga,ziga[expenditure],N
r.col2.2.2,sza3-bi,szag[heart]-bi[-ta],N.3-SG-NH-POSS.ABL
r.col2.2.3,su-ga,sug[repay]-a,NF.V.PT
r.col2.3.1,ba-sa6,Basa[1][-ak],PN.GEN
r.col2.4.1,mu,mu[year],N
r.col2.4.2,sza-asz-ru{ki},Szaszru[1][-ø],SN.ABS
r.col2.4.3,ba-hul,ba-hulu[destroy][-ø],MID.V.3-SG-S
o.1.1,5(u),5(u)[ten],NU
o.1.2,6(asz),6(asz)[one],NU
o.1.3,sze,sze[barley],N
o.1.4,gur,gur[unit],N
o.1.5,lugal,lugal[king][-ak][-ø],N.GEN.ABS
o.2.1,i3-dub,idub[granary],N
o.2.2,...-{d}...,_[_],_
o.3.1,ki,ki[place],N
o.3.2,...-ta,_[1][-ak]-ta,PN.GEN.ABL
o.4.1,...,_[1][-e],PN.ERG
r.1.1,szu,szu[hand][-e],N.L3-NH
r.1.2,ba-ti,ba[-n]-teg[accept][-ø],MID.3-SG-H-A.V.3-SG-P
r.2.1,giri3,giri[foot],N
r.2.2,da-ga-...,_[1][-ak],PN.GEN
r.3.1,iti,iti[month],N
r.3.2,sze-sag11-ku5,Szesagku[1][-'a],MN.L1
r.4.1,mu,mu[year],N
r.4.2,ki-masz{ki},Kimasz[1][-ø],SN.ABS
r.4.3,ba-hul,ba-hulu[destroy][-ø],MID.V.3-SG-S
o.1.1,2(bur3),2(bur)[unit],N
o.1.2,GAN2,gana[field],N
o.1.3,gesz-ur3-ra,geszur[harrow]-a,NF.V.PT
o.1.4,a-ra2,ara[times],N
o.1.5,1(disz),1(disz)[one][-sze],NU.TERM
o.1.6,4(iku),4(iku)[unit],N
o.1.7,1/2(iku),1/2(iku)[unit],N
o.1.8,GAN2-ta,gana[field]-ta,N.ABL
o.2.1,a-sza3,aszag[field],N
o.2.2,gibil,gibil[new][-ø][-'a],NF.V.ABS.L1
o.3.1,ugula,ugula[overseer][-ø],N.ABS
o.3.2,lugal-ku3-zu,Lugalkuzu[1][-ø],PN.ABS
o.4.1,kiszib3,kiszib[seal],N
o.4.2,na-ba-sa6,Nabasa[1][-ak],PN.GEN
r.1.1,mu,mu[year],N
r.1.2,si-ma-num2{ki},Simanum[1][-ø],SN.ABS
r.1.3,ba-hul,ba-hulu[destroy][-ø],MID.V.3-SG-S
s1.1.1,na-ba-sa6,Nabasa[1],PN
s1.2.1,dumu,dumu[child],N
s1.2.2,he2-sa6,Hesa[1],PN
s1.3.1,iszib,iszib[priest],N
s1.3.2,{d}szara2,Szara[1][-ak][-ak],DN.GEN.GEN
o.col1.1.1,...,_[_],_
o.col1.2'.1,1(bur3),1(bur)[unit],N
o.col1.2'.2,1(esze3),1(esze)[unit],N
o.col1.2'.3,5(iku),5(iku)[unit],N
o.col1.2'.4,1/2(iku),1/2(iku)[unit],N
o.col1.2'.5,GAN2,gana[field],N
o.col1.2'.6,saga,saga[good][-ø],NF.V.ABS
o.col1.3'.1,a-sza3,aszag[field],N
o.col1.3'.2,durux(U3),Duru[1],FN
o.col1.3'.3,i7,id[river],N
o.col1.3'.4,nun-ta,nun[prince][-ak]-ta,N.GEN.ABL
o.col1.3'.5,ka,kag[mouth],N
o.col1.3'.6,{d}nanna-gu2-gal-sze3,Nannagugal[1][-ak]-sze,WN.GEN.TERM
o.col1.4'.1,en,en[priest],N
o.col1.4'.2,{d}nanna-ke4,Nanna[1]-ak-e,DN.GEN.ERG
o.col1.4'.3,i3-dab5,i[-n]-dab[seize][-ø],FIN.3-SG-H-A.V.3-SG-P
o.col1.5'.1,1(bur3),1(bur)[unit],N
o.col1.5'.2,1(esze3),1(esze)[unit],N
o.col1.5'.3,2(iku),2(iku)[unit],N
o.col1.5'.4,GAN2,gana[field],N
o.col1.5'.5,a-sza3,aszag[field],N
o.col1.5'.6,durux(U3)-{d}nanna-gu2-gal,Durunannagugal[1],FN
o.col1.6'.1,9(bur3),9(bur)[unit],N
o.col1.6'.2,2(esze3),2(esze)[unit],N
o.col1.6'.3,1(iku),1(iku)[unit],N
o.col1.6'.4,GAN2,gana[field],N
o.col1.6'.5,muru13,Muru[1],FN
o.col1.7'.1,a-sza3,aszag[field],N
o.col1.7'.2,igi-zi,egizid[priestess][-ak],N.GEN
o.col1.8'.1,2(bur3),2(bur)[unit],N
o.col1.8'.2,2(esze3),2(esze)[unit],N
o.col1.8'.3,GAN2,gana[field],N
o.col1.8'.4,saga,saga[good][-ø],NF.V.ABS
o.col1.9'.1,a-sza3,aszag[field],N
o.col1.9'.2,gibil,gibil[new][-ø],NF.V.ABS
o.col1.9'.3,ku-li,Kuli[1],PN
o.col1.10'.1,u3,u[and],CNJ
o.col1.10'.2,u2-da,Uda[1],PN
o.col1.11'.1,3(bur'u),3(bur'u)[unit],N
o.col1.11'.2,1(esze3),1(esze)[unit],N
o.col1.11'.3,2(iku),2(iku)[unit],N
o.col1.11'.4,1/2(iku),1/2(iku)[unit],N
o.col1.11'.5,GAN2,gana[field],N
o.col1.11'.6,saga,saga[good][-ø],NF.V.ABS
o.col1.12'.1,ka-ge,Kage[1],PN
o.col1.12'.2,a-ta,a[water]-ta,N.ABL
o.col1.12'.3,de6-a,de[bring]-a,NF.V.PT
o.col1.13'.1,a-sza3,aszag[field],N
o.col1.13'.2,gesz-gi-banda3{da},Geszgibanda[1],FN
o.col2.1.1,...,_[_],_
o.col2.2'.1,8(bur3),8(bur)[unit],N
o.col2.2'.2,2(bur3),2(bur)[unit],N
o.col2.2'.3,1(esze3),1(esze)[unit],N
o.col2.2'.4,1/4(iku),1/4(iku)[unit],N
o.col2.2'.5,GAN2,gana[field],N
o.col2.2'.6,murgu2,murgu[tree_type],N
o.col2.3'.1,2(esze3),2(esze)[unit],N
o.col2.3'.2,4(iku),4(iku)[unit],N
o.col2.3'.3,GAN2,gana[field],N
o.col2.3'.4,{gesz}kiri6,kiri[orchard],N
o.col2.4'.1,a-sza3,aszag[field],N
o.col2.4'.2,gaba,gaba[frontier][-ak],N.GEN
o.col2.4'.3,{d}hendur-sag,Hendursag[1],DN
o.col2.5'.1,4(bur3),4(bur)[unit],N
o.col2.5'.2,1(esze3),1(esze)[unit],N
o.col2.5'.3,5(iku),5(iku)[unit],N
o.col2.5'.4,1/2(iku),1/2(iku)[unit],N
o.col2.5'.5,GAN2,gana[field],N
o.col2.5'.6,saga,saga[good][-ø],NF.V.ABS
o.col2.6'.1,1(bur'u),1(bur'u)[unit],N
o.col2.6'.2,2(bur3),2(bur)[unit],N
o.col2.6'.3,4(iku),4(iku)[unit],N
o.col2.6'.4,GAN2,gana[field],N
o.col2.6'.5,murgu2,murgu[tree_type],N
o.col2.7'.1,a-sza3,aszag[field],N
o.col2.7'.2,KA-TUL2,Katul[1],FN
o.col2.8'.1,u3,u[and],CNJ
o.col2.8'.2,a-sza3,aszag[field],N
o.col2.8'.3,szu-na,Szuna[1],FN
o.col2.9'.1,1(szar2),1(szar)[unit],N
o.col2.9'.2,1(bur'u),1(bur'u)[unit],N
o.col2.9'.3,1(bur3),1(bur)[unit],N
o.col2.9'.4,1(iku),1(iku)[unit],N
o.col2.9'.5,1/2(iku),1/2(iku)[unit],N
o.col2.9'.6,1/4(iku),1/4(iku)[unit],N
o.col2.9'.7,GAN2,gana[field],N
o.col2.10'.1,giri3,giri[foot],N
o.col2.10'.2,de6-a,de[bring]-a,NF.V.PT
o.col2.11'.1,2(bur3),2(bur)[unit],N
o.col2.11'.2,2(esze3),2(esze)[unit],N
o.col2.11'.3,3(iku),3(iku)[unit],N
o.col2.11'.4,1/2(iku),1/2(iku)[unit],N
o.col2.11'.5,GAN2,gana[field],N
o.col2.11'.6,i7,id[river],N
o.col2.12'.1,a-sza3,aszag[field],N
o.col2.12'.2,dal-ba-na,Dalbana[1],FN
o.col2.12'.3,sag,sag[front_side],N
o.col2.12'.4,erin-gaba,eringaba[unknown][-ak],N.GEN
o.col2.13'.1,1(bur3),1(bur)[unit],N
o.col2.13'.2,GAN2,gana[field],N
o.col2.13'.3,ur-li,Urli[1],PN
o.col2.14'.1,a-sza3,aszag[field],N
o.col2.14'.2,{d}na-ru2-a,narua[stele][-ak],N.GEN
o.col2.15'.1,2(esze3),2(esze)[unit],N
o.col2.15'.2,2(iku),2(iku)[unit],N
o.col2.15'.3,GAN2,gana[field],N
o.col2.15'.4,saga,saga[good][-ø],NF.V.ABS
o.col2.16'.1,2(bur3),2(bur)[unit],N
o.col2.16'.2,8(bur3),8(bur)[unit],N
o.col2.16'.3,1/4(iku),1/4(iku)[unit],N
o.col2.16'.4,GAN2,gana[field],N
o.col2.16'.5,saga,saga[good][-ø],NF.V.ABS
o.col2.17'.1,a-ta,a[water]-ta,N.ABL
o.col2.17'.2,e3-a,e[leave]-a,NF.V.PT
o.col3.1.1,...,_[_],_
o.col3.2'.1,2(bur3),2(bur)[unit],N
o.col3.2'.2,3(iku),3(iku)[unit],N
o.col3.2'.3,GAN2,gana[field],N
o.col3.2'.4,iri,iri[city],N
o.col3.3'.1,6(bur3),6(bur)[unit],N
o.col3.3'.2,2(esze3),2(esze)[unit],N
o.col3.3'.3,GAN2,gana[field],N
o.col3.3'.4,i7,id[river],N
o.col3.4'.1,a-sza3,aszag[field],N
o.col3.4'.2,sal-le-sa6,Sallesa[1],FN
o.col3.5'.1,3(bur'u),3(bur'u)[unit],N
o.col3.5'.2,1(bur3),1(bur)[unit],N
o.col3.5'.3,...,_[_],_
o.col3.5'.4,GAN2,gana[field],N
o.col3.5'.5,saga,saga[good][-ø],NF.V.ABS
o.col3.6'.1,4(bur'u),4(bur'u)[unit],N
o.col3.6'.2,1(bur3),1(bur)[unit],N
o.col3.6'.3,...,_[_],_
o.col3.6'.4,GAN2,gana[field],N
o.col3.6'.5,ki,ki[place],N
o.col3.6'.6,sumun,sumun[old][-ø],NF.V.ABS
o.col3.7'.1,a-sza3,aszag[field],N
o.col3.7'.2,gu2,gu[bank],N
o.col3.7'.3,i7,id[river],N
o.col3.7'.4,idigna,Idigna[1][-ak],WN.GEN
o.col3.8'.1,ugula,ugula[overseer],N
o.col3.8'.2,sanga,sagga[temple_administrator],N
o.col3.8'.3,e2-babbar2,Ebabbar[1][-ak],TN.GEN
o.col3.9'.1,3(bur3),3(bur)[unit],N
o.col3.9'.2,2(esze3),2(esze)[unit],N
o.col3.9'.3,5(iku),5(iku)[unit],N
o.col3.9'.4,1/2(iku),1/2(iku)[unit],N
o.col3.9'.5,1/4(iku),1/4(iku)[unit],N
o.col3.9'.6,GAN2,gana[field],N
o.col3.9'.7,saga,saga[good][-ø],NF.V.ABS
o.col3.10'.1,2(bur3),2(bur)[unit],N
o.col3.10'.2,2(esze3),2(esze)[unit],N
o.col3.10'.3,GAN2,gana[field],N
o.col3.10'.4,ki,ki[place],N
o.col3.10'.5,gesztin-la,gesztinla[unknown],_
o.col3.11'.1,u3,u[and],CNJ
o.col3.11'.2,a-sza3,aszag[field],N
o.col3.11'.3,i7,id[river],N
o.col3.11'.4,idigna,Idigna[1][-ak],WN.GEN
o.col3.12'.1,1(bur3),1(bur)[unit],N
o.col3.12'.2,2(esze3),2(esze)[unit],N
o.col3.12'.3,1(iku),1(iku)[unit],N
o.col3.12'.4,...,_[_],_
o.col3.12'.5,GAN2,gana[field],N
o.col3.12'.6,saga,saga[good][-ø],NF.V.ABS
o.col3.13'.1,5(u),5(u)[ten],NU
